S_UNNR	N_LFDNR	S_VORSILBE	S_NAME	S_SPEZIFIKATION	S_KLASSE	S_KLASSIFIZIERUNGSCODE	S_VP_GRUPPE	S_KENN1	S_KENN2	S_KENN3	S_KENN4	S_SV1	S_SV2	S_SV3	S_SV4	S_SV5	S_SV6	S_SV7	S_SV8	S_SV9	SV_10	SV_11	S_BEGRENZTE_MENGEN	S_FREIGEST_MENGEN	S_VERPACKUNGSANW1	S_VERPACKUNGSANW2	S_VERPACKUNGSANW3	S_VERPACKUNGSANW4	S_VERPACKUNGSANW5	S_VERPACKUNGSANW6	S_VERPACKUNGSANW7	S_VERPACKUNGSANW8	S_VERPACKUNGSANW9	S_SV_VP1	S_SV_VP2	S_SV_VP3	S_SV_VP4	S_SV_VP5	S_ZUSAMMENPACKUNG1	S_ZUSAMMENPACKUNG2	S_UN_TANK1	S_UN_TANK2	S_UN_TANK3	S_UN_TANK4	S_SV_UNTANK1	S_SV_UNTANK2	S_SV_UNTANK3	S_SV_UNTANK4	S_TANK_CODE1	S_TANK_CODE2	S_SV_TANK1	S_SV_TANK2	S_SV_TANK3	S_SV_TANK4	S_SV_TANK5	S_SV_TANK6	S_SV_TANK7	S_SV_TANK8	S_TANKFAHRZEUG	S_BEFOERDERUNGSKATEGORIE	S_TUNNEL_CODE	S_SV_VERSANDSTUECKE1	S_SV_VERSANDSTUECKE2	S_SV_VERSANDSTUECKE3	S_SV_LOSE_SCHUETTUNG1	S_SV_LOSE_SCHUETTUNG2	S_SV_LOSE_SCHUETTUNG3	S_SV_LOSE_SCHUETTUNG4	S_SV_LOSE_SCHUETTUNG5	S_SV_HANDHABUNG1	S_SV_HANDHABUNG2	S_SV_HANDHABUNG3	S_SV_HANDHABUNG4	S_SV_HANDHABUNG5	S_BETRIEB1	S_BETRIEB2	S_BETRIEB3	S_BETRIEB4	S_GEFAHRNR	S_VORSILBE_E	S_NAME_E	S_SPEZIFIKATION_E	S_VORSILBE_FR	S_NAME_FR	S_SPEZIFIKATION_FR	S_BEMERKUNG	N_MULTIPLIKATOR	N_ERGAENZ_TECH	S_VERTRAEGL_GR	N_VERBOT	N_UNNR	N_SICHERUNG	S_MENGE_SICHERUNG_TANK	S_MENGE_SICHERUNG_LS	S_MENGE_SICHERUNG_VP	S_KENNZ_N
3327	1		RADIOAKTIVE STOFFE, TYP A-VERSANDSTÜCK, SPALTBAR	nicht in besonderer Form	7			7X	7E			172	326										0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, TYPE A PACKAGE, FISSILE	non-special form		MATIÈRES RADIOACTIVES EN COLIS DE TYPE A, FISSILES	qui ne sont pas sous forme spéciale	7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3327	2				
3328	1		RADIOAKTIVE STOFFE, TYP B(U)-VERSANDSTÜCK, SPALTBAR		7			7X	7E			172	326	337									0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, TYPE B(U) PACKAGE, FISSILE			MATIÈRES RADIOACTIVES EN COLIS DE TYPE B(U), FISSILES		7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3328	2				
3329	1		RADIOAKTIVE STOFFE, TYP B(M)-VERSANDSTÜCK, SPALTBAR		7			7X	7E			172	326	337									0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, TYPE B(M) PACKAGE, FISSILE			MATIÈRES RADIOACTIVES EN COLIS DE TYPE B(M), FISSILES		7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3329	2				
3330	1		RADIOAKTIVE STOFFE, TYP C-VERSANDSTÜCK, SPALTBAR		7			7X	7E			172	326										0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, TYPE C PACKAGE, FISSILE			MATIÈRES RADIOACTIVES EN COLIS DE TYPE C, FISSILES		7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3330	2				
3331	1		RADIOAKTIVE STOFFE, UNTER SONDERVEREINBARUNG BEFÖRDERT, SPALTBAR		7			7X	7E			172	326										0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	-									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, TRANSPORTED UNDER SPECIAL ARRANGEMENT, FISSILE			MATIÈRES RADIOACTIVES TRANSPORTÉES SOUS ARRANGEMENT SPÉCIAL, FISSILES		7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3331	2				
3332	1		RADIOAKTIVE STOFFE, TYP A-VERSANDSTÜCK, IN BESONDERER FORM	nicht spaltbar oder spaltbar, freigestellt	7			7X				172	317										0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S12	S21	70		RADIOACTIVE MATERIAL, TYPE A PACKAGE, SPECIAL FORM	non fissile or fissile-excepted		MATIÈRES RADIOACTIVES EN COLIS DE TYPE A, SOUS FORME SPÉCIALE	non fissiles ou fissiles exceptées	7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3332	2				
3333	1		RADIOAKTIVE STOFFE, TYP A-VERSANDSTÜCK, IN BESONDERER FORM, SPALTBAR		7			7X	7E			172											0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, TYPE A PACKAGE, SPECIAL FORM, FISSILE			MATIÈRES RADIOACTIVES EN COLIS DE TYPE A, SOUS FORME SPÉCIALE, FISSILES		7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3333	2				
3334	1		Flüssiger Stoff, den für die Luftfahrt geltenden Vorschriften unterliegend, n.a.g.		9	M11																																																																											Aviation regulated liquid, n.o.s.			Matière liquide réglementée pour l'aviation, n.s.a.		UNTERLIEGT NICHT DEN VORSCHRIFTEN DES ADR				2	3334					
3335	1		Fester Stoff, den für die Luftfahrt geltenden Vorschriften unterliegend, n.a.g.		9	M11																																																																											Aviation regulated solid, n.o.s.			Matière solide réglementée pour l'aviation, n.s.a.		UNTERLIEGT NICHT DEN VORSCHRIFTEN DES ADR				2	3335					
3336	1		MERCAPTANE, FLÜSSIG, ENTZÜNDBAR, N.A.G.		3	F1	I	3				274											0	E0	P001														MP7	MP17	T11				TP2				L4BN										FL	1	D/E														S2	S20			33		MERCAPTANS, LIQUID, FLAMMABLE, N.O.S.			MERCAPTANS LIQUIDES INFLAMMABLES, N.S.A.			50	1		1	3336	1	3000	a)	b)	
3336	2		MERCAPTANE, MISCHUNG, FLÜSSIG, ENTZÜNDBAR, N.A.G.		3	F1	I	3				274											0	E0	P001														MP7	MP17	T11				TP2				L4BN										FL	1	D/E														S2	S20			33		MERCAPTAN MIXTURE, LIQUID, FLAMMABLE, N.O.S.			MERCAPTANS EN MÉLANGE LIQUIDE INFLAMMABLE, N.S.A.			50	1		1	3336	1	3000	a)	b)	
3336	3		MERCAPTANE, FLÜSSIG, ENTZÜNDBAR, N.A.G.	(Dampfdruck bei 50 °C größer als 110 kPa)	3	F1	II	3				274	640C										1 L	E2	P001														MP19		T7				TP1	TP8	TP28		L1,5BN										FL	2	D/E														S2	S20			33		MERCAPTANS, LIQUID, FLAMMABLE, N.O.S.	(vapour pressure at 50 °C more than 110 kPa)		MERCAPTANS LIQUIDES INFLAMMABLES, N.S.A.	(pression de vapeur à 50 °C supérieure à 110 kPa)		3	1		1	3336	1	3000	a)	b)	
3336	4		MERCAPTANE, MISCHUNG, FLÜSSIG, ENTZÜNDBAR, N.A.G.	(Dampfdruck bei 50 °C größer als 110 kPa)	3	F1	II	3				274	640C										1 L	E2	P001														MP19		T7				TP1	TP8	TP28		L1,5BN										FL	2	D/E														S2	S20			33		MERCAPTAN MIXTURE, LIQUID, FLAMMABLE, N.O.S.	(vapour pressure at 50 °C more than 110 kPa)		MERCAPTANS EN MÉLANGE LIQUIDE INFLAMMABLE, N.S.A.	(pression de vapeur à 50 °C supérieure à 110 kPa)		3	1		1	3336	1	3000	a)	b)	
3336	5		MERCAPTANE, FLÜSSIG, ENTZÜNDBAR, N.A.G.	(Dampfdruck bei 50 °C höchstens 110 kPa)	3	F1	II	3				274	640D										1 L	E2	P001	IBC02	R001												MP19		T7				TP1	TP8	TP28		LGBF										FL	2	D/E														S2	S20			33		MERCAPTANS, LIQUID, FLAMMABLE, N.O.S.	(vapour pressure at 50 °C not more than 110 kPa)		MERCAPTANS LIQUIDES INFLAMMABLES, N.S.A.	(pression de vapeur à 50 °C inférieure ou égale à 110 kPa)		3	1		1	3336	1	3000	a)	b)	
